episode,step,ankle_eversion_deg,ankle_eversion_action,ankle_flexion_deg,ankle_flexion_action,hip_abduction_deg,hip_abduction_action,hip_flexion_deg,hip_flexion_action,reward,cum_reward,com_y,target_y,h,xcom_y,failed
1,12,-2.465802722079237,1.0,-0.06416260806814597,1.0,11.076338170161284,-0.1599392145872116,1.8491760726268969,0.20043547451496124,0.07934233546257019,0.8947974070906639,-0.0003383811691689562,0.0,0.9887206276943681,-0.017590132160546005,False
1,13,-2.5050393759774376,1.0,-0.08792519837313363,1.0,11.419135570674422,-0.19054342806339264,2.2138001637259825,0.08854983747005463,0.07955758273601532,0.9743549898266792,-0.0009684880008191226,0.0,0.9677170666393626,-0.02128115024058483,False
1,14,-2.5130604889624713,1.0,-0.08374021059431493,1.0,11.646926370979196,-0.2264905422925949,2.4880500994901396,0.023875582963228226,0.07947846502065659,1.0538334548473358,-0.001688678802927765,0.0,0.9437107065690745,-0.02490536488948772,False
1,15,-2.4923902535625104,1.0,-0.04099252868629774,1.0,11.769337315639559,-0.25356602668762207,2.628531615808046,0.022445309907197952,0.07934577018022537,1.1331792250275612,-0.0024962012043799934,0.0,0.9167932931873335,-0.028528183350624146,False
1,16,-2.444824019039282,1.0,0.03615107891184353,1.0,11.793552533321085,-0.2513071298599243,2.652265683773058,0.06440939009189606,0.07931548357009888,1.21249470859766,-0.0033876596193440412,0.0,0.8870780126885319,-0.03212547481893396,False
1,17,-2.3740465464375746,1.0,0.13453895440753755,1.0,11.735128576157303,-0.21475981175899506,2.61304682458631,0.11462153494358063,0.07938842475414276,1.2918831333518028,-0.0043561503336609995,0.0,0.8547949888779667,-0.035577244557873415,False
1,18,-2.286817058697033,1.0,0.24066982854891755,1.0,11.622536904348415,-0.16022907197475433,2.5661845036334485,0.14716853201389313,0.07949761301279068,1.3713807463645935,-0.005391522567921211,0.0,0.820282581069293,-0.03876866661805222,False
1,19,-2.1913771211418234,1.0,0.3465921587240493,1.0,11.490286229587138,-0.11048980057239532,2.5444051572679225,0.1554216891527176,0.07959432154893875,1.4509750679135323,-0.006483692471835533,0.0,0.7838769176054822,-0.04169181473349985,False
1,20,-2.0946482473845163,1.0,0.4509201358681425,1.0,11.36726892831186,-0.07914428412914276,2.553676622700175,0.14730478823184967,0.07966221868991852,1.5306372866034508,-0.007626007589255086,0.0,0.7457997470248304,-0.04445065380163606,False
1,21,-2.000459985609236,1.0,0.5563603244201825,1.0,11.26950102269338,-0.06714145839214325,2.5832774647377987,0.13478411734104156,0.07969552278518677,1.6103328093886375,-0.008816393965897711,0.0,0.7061202011367429,-0.04719070636659993,False
1,22,-1.9095539598053526,1.0,0.6664637415412333,1.0,11.2002196204582,-0.06790731847286224,2.6190482490403704,0.12623651325702667,0.07969339936971664,1.6900262087583542,-0.010056360736393623,0.0,0.664787975453546,-0.050028989078884464,False
1,23,-1.8207168873396644,1.0,0.7835172939603994,1.0,11.154615639558797,-0.0734899491071701,2.652008005997544,0.12415666878223419,0.07966303825378418,1.7696892470121384,-0.01134914888785988,0.0,0.6216950370713373,-0.053024572402208606,False
1,24,-1.73209888078529,1.0,0.9080469743792732,1.0,11.125296235633881,-0.07836209237575531,2.6803915284914157,0.12663395702838898,0.0796169862151146,1.849306233227253,-0.012698143892550138,0.0,0.5767285369149954,-0.05618549955514947,False
1,25,-1.6421165878623125,1.0,1.0394278658249954,1.0,11.10600583830618,-0.08052442967891693,2.7071606404685973,0.13024233281612396,0.07956654578447342,1.9288727790117264,-0.014106052425842078,0.0,0.5297982524719307,-0.0594925949369711,False
1,26,-1.5497780192913655,1.0,1.1768045813963637,1.0,11.092948307933804,-0.08061288297176361,2.736242275418018,0.13242207467556,0.07951708137989044,2.008389860391617,-0.015574810986186967,0.0,0.4808396337937677,-0.06292296696462309,False
