time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction
2896,417792,4,135.99,3,-91.79446688,0.0003,-0.02405911684036255,-5.878795909881592,-0.0049914952396648005,0.9131500944495201,1.0539054870605469,0.004857206,1010,0.2377750881947577,0.2,0.032666015625
3150,421888,5,101.62,4,-94.32080433999998,0.0003,-0.05101572349667549,-5.888170284032822,-0.005139121870161034,0.9662974327802658,1.0564093589782715,0.0058170324,1020,0.13866121848113835,0.2,0.0364013671875
3315,425984,6,102.08,5,-94.29957586,0.0003,-0.06866507232189178,-5.897137719392776,-0.00772927085054107,0.9862542366608977,1.0578749179840088,0.007132292,1030,0.08760548604186624,0.2,0.0628173828125
3412,430080,7,103.48,6,-94.23612765000001,0.0003,-0.06440220773220062,-5.901096934080124,-0.008378660713788122,0.9905578969046474,1.0587190389633179,0.007850675,1040,0.057628874282818286,0.2,0.0645263671875
3479,434176,8,104.84,7,-94.18165891000001,0.0003,-0.05586954578757286,-5.900910425186157,-0.008719384402502329,0.9905240247026086,1.0583053827285767,0.009062154,1050,0.04265536228194833,0.2,0.0740234375
3541,438272,9,107.82,8,-94.0441474,0.0003,-0.07038385421037674,-5.915552896261215,-0.011849156807875261,0.9925376139581203,1.0684754848480225,0.00974986,1060,0.028591216704808176,0.2,0.095556640625
3545,442368,10,111.43,9,-93.88801770999999,0.0003,-0.06761648505926132,-5.949742949008941,-0.01454412984312512,0.9952166713774204,1.074249505996704,0.009610495,1070,0.017267122492194177,0.2,0.1134033203125
3539,446464,11,115.62,10,-93.73026863000001,0.0003,-0.08052181452512741,-5.971598303318023,-0.0133859505149303,0.9968733901623636,1.079529881477356,0.009651363,1080,0.012192394339945168,0.2,0.106494140625
3563,450560,12,117.94,11,-93.70196942000003,0.0003,-0.06678842008113861,-5.97369174361229,-0.012740290808142162,0.9893733784556389,1.074873685836792,0.008389266,1090,0.02915170348715037,0.2,0.100927734375
3595,454656,13,119.25,12,-93.75258418000001,0.0003,-0.05636100471019745,-5.963931053876877,-0.008336483119637705,0.9849334415048361,1.0751162767410278,0.00839279,1100,0.033298172091599555,0.2,0.085205078125
3628,458752,14,117.48,13,-93.88453215999999,0.0003,-0.06919287890195847,-5.96810599565506,-0.014044721514801494,0.995094669982791,1.0778205394744873,0.010644823,1110,0.017239567136857658,0.2,0.1194580078125
3655,462848,15,114.41,14,-94.05674691999998,0.0003,-0.06591340899467468,-5.972858339548111,-0.009385283684241585,0.9925042083486915,1.0770089626312256,0.007844285,1120,0.029583154851570724,0.2,0.077490234375
3680,466944,16,112.11,15,-94.19475425,0.0003,-0.07819672673940659,-5.978551769256592,-0.01070801392197609,0.9949710411019623,1.0820728540420532,0.009076239,1130,0.01616680728038773,0.2,0.0872802734375
3700,471040,17,110.12,16,-94.33493541999998,0.0003,-0.06534440070390701,-5.995575225353241,-0.009995134783093818,0.996030424721539,1.0853838920593262,0.0072780373,1140,0.009227621799800545,0.2,0.0739501953125
3723,475136,18,109.04,17,-94.38807918999998,0.0003,-0.07573731243610382,-6.008921146392822,-0.011611944824107923,0.9969336676876992,1.0896623134613037,0.008223495,1150,0.010488066892139613,0.2,0.1010009765625
3738,479232,19,108.0,18,-94.40743214000003,0.0003,-0.08346094191074371,-6.021274614334106,-0.012674568450893275,0.9980155974626541,1.0927436351776123,0.008583766,1160,0.006472584197763353,0.2,0.100732421875
3749,483328,20,107.66,19,-94.39079055,0.0003,-0.06840288639068604,-6.027500116825104,-0.01244926089711953,0.9975288414862007,1.0932364463806152,0.009493906,1170,0.008534598664846271,0.2,0.1101806640625
3773,487424,21,107.64,20,-94.38738384,0.0003,-0.06886246800422668,-6.033357161283493,-0.011528388925944455,0.998097631148994,1.0952019691467285,0.009824667,1180,0.006562310521258041,0.2,0.106298828125
3792,491520,22,107.56,21,-94.33216895,0.0003,-0.06971453875303268,-6.036844539642334,-0.01468849862285424,0.9987670189002529,1.0967081785202026,0.00959043,1190,0.004277787465252913,0.2,0.12275390625
3804,495616,23,107.41,22,-94.29157434999999,0.0003,-0.06429661810398102,-6.030824494361878,-0.01017375927331159,0.9977495325729251,1.0908485651016235,0.0074273283,1200,0.0064921914949081835,0.2,0.080712890625
3804,499712,24,106.74,23,-94.25688098999998,0.0003,-0.07153666764497757,-6.028024238348007,-0.012576276349136606,0.9982861616881564,1.0962926149368286,0.009276448,1210,0.004647154547274113,0.2,0.1032958984375
3812,503808,25,106.32,24,-94.19363573999999,0.0003,-0.07172512263059616,-6.04232702255249,-0.011156700691208244,0.9977467455901206,1.097347617149353,0.008886326,1220,0.005297420755960047,0.2,0.0922119140625
3820,507904,26,105.86,25,-94.17144202999998,0.0003,-0.07587667554616928,-6.049828439950943,-0.011078154467395507,0.9976162393577397,1.1009443998336792,0.007924851,1230,0.006254123494727537,0.2,0.0846435546875
