rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/explained_variance,train/clip_range
877.25,471040,115,1568.87174157,173,2707,0.0003,-5.794471687078476,-0.006740990231628529,0.044970703125,-0.06508859246969223,0.007221521,1140,0.0007341495405853493,1.104151964187622,0.9567118175327778,0.2
877.77,475136,116,1568.44008226,175,2714,0.0003,-5.8068859577178955,-0.0069400869542732835,0.056884765625,-0.06463969498872757,0.0038198235,1150,0.006930613893200643,1.110546588897705,0.9760065972805023,0.2
868.17,479232,117,1554.90307132,176,2719,0.0003,-5.821540910005569,-0.006315917994652409,0.0316650390625,-0.07175563275814056,0.003330214,1160,0.0017235709507076535,1.1110384464263916,0.9854072481393814,0.2
868.17,483328,118,1555.5515110200004,177,2728,0.0003,-5.819062077999115,-0.009844087084638886,0.0666259765625,-0.0665309950709343,0.0060604317,1170,0.0009229001061612507,1.1116044521331787,0.9927851399406791,0.2
867.8,487424,119,1563.29587868,178,2734,0.0003,-5.819051373004913,-0.0077510608651209624,0.0661376953125,-0.06443304568529129,0.0067962003,1180,0.0005145076442204299,1.1136510372161865,0.9425403364002705,0.2
867.8,491520,120,1564.90515151,179,2732,0.0003,-5.818009048700333,-0.010104342710110358,0.073095703125,-0.0671779215335846,0.008194804,1190,0.0022472880613349845,1.115047574043274,0.9879769114777446,0.2
876.69,495616,121,1588.4718835,181,2730,0.0003,-5.826325625181198,-0.004235151875764132,0.0694580078125,-0.05492285266518593,0.0052595977,1200,0.01117289992980659,1.1153868436813354,0.9575784727931023,0.2
867.19,499712,122,1565.4153934499998,182,2732,0.0003,-5.828786563873291,-0.00887990113988053,0.0596435546875,-0.07685516774654388,0.0109322015,1210,0.002391054667532444,1.116869568824768,0.9751139488071203,0.2
867.03,503808,123,1568.6899902900002,184,2733,0.0003,-5.8251671373844145,-0.00753832101036096,0.068115234375,-0.06936696916818619,0.006703492,1220,0.0011285059808869846,1.1148030757904053,0.9861985230818391,0.2
848.56,507904,124,1528.0387406500004,185,2736,0.0003,-5.819090974330902,-0.012131069233873859,0.0877197265625,-0.08042551577091217,0.008331427,1230,0.0010594051978841889,1.1152331829071045,0.9891417380422354,0.2
