time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss
21,128.36,-1154.38646092,3415,86016,25,200,0.2,0.0660400390625,1.0853782892227173,0.0073836325,-6.005049920082092,0.0003,0.23821710478514432,0.008283339440822601,0.9509599059820175,-0.009173975625890307
22,112.41,-858.01211874,3386,90112,26,210,0.2,0.0802001953125,1.0854337215423584,0.00784631,-6.002877461910248,0.0003,0.24965123627334834,0.031213581562042236,0.935974009335041,-0.009288401654339395
23,82.93,-549.19541148,3304,94208,28,220,0.2,0.0844970703125,1.0842159986495972,0.00839728,-6.002400451898575,0.0003,0.19762434531003237,0.0038844048976898193,0.9569080509245396,-0.010393988018768141
24,66.84,-374.57368004999995,3243,98304,30,230,0.2,0.059619140625,1.088280200958252,0.0066724624,-6.006234842538833,0.0003,0.2566218260675669,0.04193956404924393,0.9002240672707558,-0.007920795865356923
25,65.02,-340.07764407999997,3194,102400,32,240,0.2,0.0718017578125,1.08872652053833,0.0081883175,-6.01452260017395,0.0003,0.23421544283628465,0.010201089084148407,0.8679323345422745,-0.009135616413550452
26,61.62,-297.60545396,3183,106496,33,250,0.2,0.0839111328125,1.085817813873291,0.0076583438,-6.009702539443969,0.0003,0.21580766830593348,0.013111650943756104,0.8260644525289536,-0.011164506548084319
27,65.25,-252.20997486,3123,110592,35,260,0.2,0.064697265625,1.085516333580017,0.00827051,-6.006426286697388,0.0003,0.1770799083635211,0.0021302923560142517,0.7807847112417221,-0.011095671556540765
28,70.9,-227.45954441,3082,114688,37,270,0.2,0.0774658203125,1.0794857740402222,0.007474246,-5.992748522758484,0.0003,0.14323840774595736,-0.00831911712884903,0.8137865513563156,-0.010820572113152594
29,70.82,-190.24530431000002,3063,118784,38,280,0.2,0.06650390625,1.0758434534072876,0.0072654905,-5.975848078727722,0.0003,0.10164214326068759,-0.03587672486901283,0.8332446813583374,-0.009595711596193723
30,78.61,-159.85400124,3032,122880,40,290,0.2,0.0776123046875,1.0737431049346924,0.008039953,-5.963296580314636,0.0003,0.07337955934926868,-0.0475652702152729,0.5721719563007355,-0.009379542656824924
