time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/value_loss,train/std,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
475,851.98,387,1585152,1479.2861848200002,3336,0.079150390625,3860,0.0038379567660740575,0.9967337846755981,-0.0628969669342041,0.9148575142025948,-0.0043587365798885,0.005094154,0.0003,-5.527594244480133,0.2
476,851.98,388,1589248,1479.2861848200002,3338,0.091259765625,3870,1.0066562481224537,0.999526858329773,0.5052950382232666,0.16044825315475464,-0.0065581374859903,0.007274907,0.0003,-5.533860838413238,0.2
477,851.41,389,1593344,1475.1970740499999,3339,0.1151123046875,3880,0.0026416855733259583,1.0039944648742676,-0.05373134836554527,0.9275994002819061,-0.007899112580344082,0.009951591,0.0003,-5.546277934312821,0.2
478,851.41,390,1597440,1473.97017588,3341,0.12041015625,3890,0.9552205212414264,0.99968421459198,0.574508786201477,0.157636821269989,-0.006507457577390597,0.00961058,0.0003,-5.548803758621216,0.2
479,832.57,391,1601536,1436.5199544599998,3342,0.172509765625,3900,0.13098750370554627,0.9999700784683228,-0.05669090151786804,-0.05502891540527344,-0.004494551529933233,0.013134766,0.0003,-5.541078782081604,0.2
480,832.57,392,1605632,1436.1055155099998,3344,0.1015625,3910,0.8077314529567957,1.001489281654358,0.38217172026634216,0.21051138639450073,-0.005503287914325483,0.007816601,0.0003,-5.54570347070694,0.2
481,835.64,393,1609728,1439.6404674999999,3345,0.1158203125,3920,0.2502906851703301,1.0052849054336548,0.05976811796426773,0.011384665966033936,-0.00231835417507682,0.010357075,0.0003,-5.5547191321849825,0.2
482,835.64,394,1613824,1439.77736232,3347,0.105859375,3930,0.7582726392894983,1.007228970527649,0.3027494549751282,0.36257725954055786,-0.004955266493197996,0.0068866056,0.0003,-5.569620335102082,0.2
483,826.41,395,1617920,1419.9071295400001,3348,0.1309814453125,3940,0.12562387924990617,1.0113739967346191,0.0447787344455719,0.14723116159439087,-0.005851323215756566,0.0113136135,0.0003,-5.5785767316818236,0.2
484,826.41,396,1622016,1418.9300409600003,3349,0.109423828125,3950,0.8638855155557394,1.0117944478988647,0.2876753807067871,0.19799655675888062,-0.005074261783738621,0.008346954,0.0003,-5.58760421872139,0.2
