trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,best_dtw,mean_rmse_same_dir,mean_corr_same_dir,mean_dtw_same_dir
68,-1.0,40,5,0.02785641132650643,0.04046105701942088,0.011151511163361728,0.08560801705042223,0.0843781839453143,0.04892051180141302
69,-1.0,40,12,0.029262431279998072,0.24816584526047933,0.012553367910728046,0.08363174577183864,0.10539019284761482,0.04581592228016994
70,-1.0,40,38,0.07439102345983753,0.12878598149602882,0.004586831591648028,0.08255678491712999,0.11426017504480238,0.036389089843932985
71,-1.0,40,38,0.07344036049247527,0.13563148995431182,0.00619421013818699,0.08246959647433619,0.11858338508326938,0.03611726175257319
72,-1.0,40,1,0.07662332551348423,0.12970746966228894,0.005841857991853698,0.08239381381174996,0.11733876163883077,0.036235404631774604
73,-1.0,40,38,0.0772177736019799,0.10875364300993205,0.00669664417909388,0.08471076505422162,0.09732367821439827,0.039726634341220805
74,-1.0,40,30,0.08109584710718297,0.11924927943587597,0.006409555633840573,0.08359613533729063,0.10823953792871983,0.036090770032228006
75,-1.0,40,30,0.08163084597999953,0.11316950389029162,0.0035782810338602666,0.08291323416205831,0.10431828119264734,0.03672155586605447
76,-1.0,40,6,0.045528593864156974,0.107194933042514,0.007407858964600088,0.08418211617565188,0.08861114831599096,0.04497644075645677
77,-1.0,40,0,0.06676821705590238,0.1109068837651287,0.005789304740937743,0.08367092247097731,0.10148046110995712,0.0402159199005338
78,-1.0,40,10,0.07757539010331171,0.12962431220294285,0.004954736715964808,0.08348066925923645,0.11646306225576271,0.03737531293631843
79,-1.0,40,5,0.031307512624510495,0.001903635386922687,0.012586370407733916,0.08416097813646956,0.09374022751908981,0.04617987889283297
80,-1.0,40,1,0.07734789258240227,0.12161464728626781,0.004416201309664858,0.08258301824877941,0.11009056423626591,0.036513253700120485
81,-1.0,40,28,0.07014196747736454,0.09505232258715442,0.006387872154826222,0.08500216936180405,0.09273933876249336,0.04037751999405581
82,-1.0,40,1,0.07740225281778562,0.11848838642903516,0.004351295544570689,0.08291796277323642,0.10827962804888705,0.03674709023871574
83,-1.0,40,30,0.08240387695456503,0.10996941854959752,0.005245207464077986,0.08357426175547604,0.10110578816220664,0.03719493093119043
