trial_group,side,n_samples,duration_s,t_start,Single_leg_hip_flex_mean_deg,Single_leg_ankle_flex_mean_deg,Single_leg_hip_abd_mean_deg,Single_leg_ankle_abd_mean_deg,com0_mean,com0_final
98,left,389,3.8799962997436523,572.5594539642334,-2.538060451598935,0.3094143144725467,-6.177310484416552,-2.8215628959639774,37.53355882093618,-54.83483304707582
99,right,412,4.10999608039856,576.4494502544403,-3.3123695219326668,-0.17571424403721078,6.144809680933954,-3.0445661568670994,-40.292872932987045,55.5462033890028
100,left,740,7.389992952346802,580.5694463253021,-3.1538288117051168,0.29244612272731196,-7.7427766383126375,-2.260956207065592,48.60742010941471,-55.74968025438188
101,right,658,6.569993734359741,587.9694392681122,-2.6805087961213805,-0.05708697250798124,5.900127916370669,-0.9896280281429238,-36.902740010167555,57.495414077589935
102,left,413,4.119996070861816,594.5494329929352,-2.2295827272493107,0.0812580666932669,-5.674344431006399,-1.948053342698055,37.41740126916719,-56.44572898020876
103,right,532,5.30999493598938,598.6794290542603,-2.40324566508428,-0.13514705527285018,7.126213900165957,-1.8258431615393889,-45.2354249626784,56.276710331205024
104,left,453,4.51999568939209,603.9994239807129,-2.4355799191122505,0.13775180068361115,-7.272683361834364,-1.0989274941500093,45.09652735983848,-55.263450881893576
105,right,493,4.919995307922363,608.5294196605682,-3.337677815577862,-0.08693121637406256,6.649470207819519,-2.9153135338928284,-43.00147025981968,56.1600765828369
106,left,52,0.5099995136260986,613.4594149589539,-3.654367854332202,0.623337345436,-9.873609231406544,-2.8426553692341097,60.86892333527615,61.53144043855926
107,right,355,3.53999662399292,624.4194045066833,0.0637888182531438,-0.7889491836288914,6.109120599538731,-4.487739238765232,-44.34723206279855,53.33869082285794
108,left,425,4.239995956420898,627.9694011211395,-0.49297254204888086,-0.3111810144600785,-7.034838617192443,-3.2480383705032603,41.033615921800475,-58.9590873429555
109,right,578,5.769994497299194,632.2193970680237,-1.3108680113331386,-0.3952328698986877,7.124786379851266,-3.901047114368298,-49.06799837069173,53.76751356893394
110,left,372,3.709996461868286,637.9993915557861,-1.125239719546506,-0.03179874958570729,-7.352172938758852,-2.1197954403626293,42.05919796905262,-58.39198771301986
111,right,333,3.3199968338012695,641.7193880081177,-1.3091879875258519,-0.4838718837365784,5.5602596934313215,-4.438535190602011,-39.86736931778034,54.96578236108003
112,left,509,5.079995155334473,645.0493848323822,-2.1403808140321434,0.3543570363634712,-6.675545183814287,-2.329553801065515,39.9401521811433,-58.20426557413556
113,right,404,4.029996156692505,650.1393799781799,-2.050368725134932,-0.016767777553442782,6.410317692380582,-2.5721598128369454,-43.94737969287215,54.71160214051875
114,left,498,4.9699952602386475,654.1793761253357,-2.436118435462185,0.3445655255894959,-7.148645291769805,-2.118780153435833,39.757507247334566,-57.839411992440816
115,right,475,4.73999547958374,659.1593713760376,-2.2013438696150414,-0.20364321984069725,7.520613140082872,-3.4608132054810232,-51.27131708063653,54.132541721754926
116,left,1283,12.819987773895264,663.9093668460846,-2.58111461037342,0.21291041350743592,-8.22188726998372,-0.7392068142596427,49.47221409575296,-61.16054349461891
117,right,423,4.219995975494385,676.7393546104431,-1.5972780657568904,-0.10977324916241013,6.4310946225494146,-3.3440619332804062,-41.94348944898124,55.69967187060755
118,left,344,3.4299967288970947,680.9693505764008,-1.8067088844918153,0.48654680452984167,-3.950293236133979,-1.5798802371433796,25.604330191320727,-67.17621530856216
119,right,526,5.249994993209839,684.4093472957611,-2.35801634138293,0.13295053687172334,6.3506229890072685,-3.5032880895005047,-39.302489820651466,53.18048824989358
120,left,416,4.149996042251587,689.6693422794342,-2.372877581415772,0.5501434217319614,-5.093511012104045,-3.0381341801058546,33.381949955748766,-65.87568347534878
121,right,514,5.129995107650757,693.829338312149,-3.3962417063681123,0.6362997997255275,7.777764732390852,-3.4940057886027724,-47.01003325909643,54.33790814581169
122,left,384,3.829996347427368,698.9693334102631,-2.972307103211963,0.4144445869971885,-5.890769445839403,-2.1533559326600127,37.57274812395473,-60.89912727280827
123,right,420,4.189996004104614,702.8093297481537,-3.2825659787778023,0.32211053882611196,4.790330507551722,-3.126701145735763,-29.36178284799422,55.03621281433562
124,left,478,4.769995450973511,707.0093257427216,-3.238925324483341,0.590444826974115,-5.874838654507604,-3.2457224475220543,38.52324124420158,-63.11894668990867
125,right,529,5.279994964599609,711.7893211841583,-2.736768513924495,0.37228481535355457,6.393183067039901,-3.789891821635871,-39.51993085033344,53.30802445381098
126,left,501,4.999995231628418,717.0793161392212,-2.98270982329455,0.5610278169582527,-6.4803275508973295,-1.604301613026206,41.16054341113927,-60.77877488796208
127,right,498,4.9699952602386475,722.0893113613129,-2.3663650463132697,0.4166403547877582,8.346736692595135,-3.6029899761965263,-51.1574434256623,53.97877557336365
128,left,332,3.3099968433380127,727.0693066120148,-2.5961415877258074,0.5322962815995042,-5.495249000344208,-0.5203531240066881,35.087388006459484,-59.52802523869458
129,right,445,4.439995765686035,730.389303445816,-2.8289079751458943,0.2311666594434651,7.075899771778865,-4.174194739804249,-43.69005546558091,53.462217649782815
130,left,380,3.789996385574341,734.8392992019653,-3.1189833537908225,0.746567418791359,-5.195200631621711,-4.316786978950174,34.12566832935456,-61.8754936605397
131,right,596,5.949994325637817,738.6392955780029,-2.6961203172366286,0.23288714553638168,7.40740784805942,-2.4823324924930765,-47.155571207269006,56.49885088145784
132,left,387,3.8599963188171387,744.599289894104,-2.808524847269548,0.6707544138060566,-6.292038712814192,-2.3025127460627424,39.619832697507555,-58.25068831214911
133,right,405,4.039996147155762,748.4692862033844,-2.5794312139199826,0.22357937879242576,6.648992163746763,-3.8127190331026077,-42.40534372255996,53.69082188061737
134,left,343,3.419996738433838,752.5192823410034,-2.869145844938081,0.5752607799647961,-6.657621776597322,-3.3861913343605665,40.9209731076547,-59.26969749662318
