trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,mean_rmse_same_dir,mean_corr_same_dir
45,-1.0,20,31,0.13253763131209892,0.3562090729128636,0.13492886669265092,0.24785584505190897
46,-1.0,20,31,0.08337262383423048,0.39994991467455143,0.08675666297016113,0.28080956362123305
47,-1.0,20,31,0.1232057306844392,0.14713699314276338,0.1257941801690404,0.10326744515215429
48,-1.0,20,31,0.11507069850271791,0.18024090831869363,0.11776988493295722,0.12660060244243493
49,-1.0,20,31,0.12125052903122056,0.151144897328999,0.12384781618723177,0.10617022768559639
50,-1.0,20,31,0.12083441778723986,0.1512424520801529,0.12342308703166534,0.10627618549401896
51,-1.0,20,31,0.10885128256319905,0.20417315772862843,0.11161399640761427,0.14347308044763266
52,-1.0,20,31,0.11975494240907893,0.1414855859158507,0.12227874276231736,0.09939372635942653
53,-1.0,20,31,0.1238899010115992,0.12305914889683932,0.12639552392738967,0.086541302015326
54,-1.0,20,27,0.017882007284765657,0.7332290923445418,0.022512567673240617,0.5192425890762544
55,-1.0,20,31,0.12112777543946189,0.13447246207197522,0.12364126275480505,0.09457890281899463
56,-1.0,20,31,0.12305148598936988,0.15159875939889306,0.12562989259545185,0.10641690567570769
57,-1.0,20,31,0.11930252302274738,0.1847351390415673,0.12204629838952068,0.1298489652403481
58,-1.0,20,31,0.11584324069212994,0.18083757228142477,0.11855926946904738,0.12702565274547367
59,-1.0,20,31,0.11465503849814633,0.21463605960690513,0.117545070088431,0.15053310386380447
60,-1.0,20,31,0.12606024880632236,0.1110896695182643,0.12853844864914699,0.07799476660269732
61,-1.0,20,31,0.12336721574819969,0.2068425886183837,0.12618825565537015,0.14485801567180004
62,-1.0,20,31,0.12303729091987366,0.158101264385933,0.12568349444660407,0.11111916305644517
63,-1.0,20,31,0.12350607911028713,0.15024170079821106,0.12606379471977533,0.10489312530971821
64,-1.0,20,31,0.12396795328474608,0.1200486676290399,0.12644803188636317,0.08421338875833287
65,-1.0,20,31,0.12100688171704517,0.16675010867764972,0.12367082384037827,0.11693153771698109
